entity_id,display_name,cities,profile_type,primary_handle,contactability,score,stage,business_fit_candidates,platform,canonical_url,username,follower_count,audience_band,verification_status,source_url,discovery_source_url,evidence_url
85452e708b8ff1f284a0,Georgia wandering,Батуми,author_or_channel,Georgiawandering,manual_only,70,worth_checking,intellectum,youtube,https://www.youtube.com/@Georgiawandering,Georgiawandering,26,nano,original_profile_opened,https://www.youtube.com/@Georgiawandering,https://www.youtube.com/results?search_query=Batumi+kids+activities&hl=ru,https://www.youtube.com/watch?v=MK99DHfiTNY
8d87f75e31850724a7a8,Global Luxe Journeys,Батуми,author_or_channel,GlobalLuxeJourneys,manual_only,55,needs_manual_review,riderra,youtube,https://www.youtube.com/@GlobalLuxeJourneys,GlobalLuxeJourneys,105000,mid,original_profile_opened,https://www.youtube.com/@GlobalLuxeJourneys,https://www.youtube.com/results?search_query=Batumi+kids+activities&hl=ru,https://www.youtube.com/watch?v=skw4dadMrrs
013617cede68c99b3141,Globivore,Батуми,author_or_channel,globivore4527,manual_only,70,worth_checking,,youtube,https://www.youtube.com/@globivore4527,globivore4527,342,nano,original_profile_opened,https://www.youtube.com/@globivore4527,https://www.youtube.com/results?search_query=Batumi+restaurants+vlog&hl=ru,https://www.youtube.com/watch?v=Lwgdh-X_8FQ
82db3c9437f05b8c2047,Growing Up Without Borders - Original Videos,Батуми,author_or_channel,GrowingUpWithoutBorders,manual_only,55,needs_manual_review,intellectum,youtube,https://www.youtube.com/@GrowingUpWithoutBorders,GrowingUpWithoutBorders,170000,mid,original_profile_opened,https://www.youtube.com/@GrowingUpWithoutBorders,https://www.youtube.com/results?search_query=Batumi+kids+activities&hl=ru,https://www.youtube.com/watch?v=38yfLAkaFuY
748ea00eb852041625c2,Hamed Explores,Батуми,author_or_channel,itsHamedExplores,manual_only,70,worth_checking,,youtube,https://www.youtube.com/@itsHamedExplores,itsHamedExplores,1,nano,original_profile_opened,https://www.youtube.com/@itsHamedExplores,https://www.youtube.com/results?search_query=Batumi+local+guide&hl=ru,https://www.youtube.com/watch?v=enaWsf8LtNg
7646a49444aa2c1275c3,Hammad Awan,Батуми,author_or_channel,Lifestyle_In_SaudiArabia,manual_only,70,worth_checking,riderra,youtube,https://www.youtube.com/@Lifestyle_In_SaudiArabia,Lifestyle_In_SaudiArabia,6600,nano,original_profile_opened,https://www.youtube.com/@Lifestyle_In_SaudiArabia,https://www.youtube.com/results?search_query=Batumi+restaurants+vlog&hl=ru,https://www.youtube.com/watch?v=IH42LEfvfEk
89e4e3d4168589663e04,Hannah Chabanova,Батуми,author,its.chabik,manual_only,77,worth_checking,,instagram,https://www.instagram.com/its.chabik,its.chabik,1540,nano,original_profile_opened,https://www.instagram.com/its.chabik,https://collabstr.com/top-influencers/instagram/in/georgia/batumi,
89e4e3d4168589663e04,Hannah Chabanova,Батуми,author,its.chabik,manual_only,77,worth_checking,,threads,https://www.threads.com/@its.chabik,its.chabik,174,nano,public_index_verified,https://threadlook.com/profile/its.chabik,https://collabstr.com/top-influencers/instagram/in/georgia/batumi,
e98449d0d0ad7993e092,Happy Muncher Traveller,Батуми,author_or_channel,happymunchertraveler,manual_only,65,worth_checking,riderra,youtube,https://www.youtube.com/@happymunchertraveler,happymunchertraveler,26500,micro,original_profile_opened,https://www.youtube.com/@happymunchertraveler,https://www.youtube.com/results?search_query=Batumi+restaurants+vlog&hl=ru,https://www.youtube.com/watch?v=0hOxoq4uk-k
8ef7035de0330afa3eaf,Have a Look Productions,Батуми,author_or_channel,Havealookproductions,manual_only,65,worth_checking,,youtube,https://www.youtube.com/@Havealookproductions,Havealookproductions,64900,micro,original_profile_opened,https://www.youtube.com/@Havealookproductions,https://www.youtube.com/results?search_query=Batumi+local+guide&hl=ru,https://www.youtube.com/watch?v=rzjWcfX2ZY8
e7acbda462ef3e13a114,Himanshu Paul HARYANA,Батуми,author_or_channel,Himanshu_Paul,manual_only,70,worth_checking,,youtube,https://www.youtube.com/@Himanshu_Paul,Himanshu_Paul,2550,nano,original_profile_opened,https://www.youtube.com/@Himanshu_Paul,https://www.youtube.com/results?search_query=Batumi+events+vlog&hl=ru,https://www.youtube.com/watch?v=YAa4IXXgjU0
23a6c0c88f5df0c4fc2a,Hobarts Abroad - Sumner & Ali,Батуми,author_or_channel,hobartsabroad,manual_only,65,worth_checking,,youtube,https://www.youtube.com/@hobartsabroad,hobartsabroad,22800,micro,original_profile_opened,https://www.youtube.com/@hobartsabroad,https://www.youtube.com/results?search_query=Batumi+events+vlog&hl=ru,https://www.youtube.com/watch?v=130zcEacJTY
a5aadfc15b931faa318e,Ilm va ijod,Батуми,author_or_channel,ilmvaijod,manual_only,70,worth_checking,riderra,youtube,https://www.youtube.com/@ilmvaijod,ilmvaijod,6930,nano,original_profile_opened,https://www.youtube.com/@ilmvaijod,https://www.youtube.com/results?search_query=Batumi+kids+activities&hl=ru,https://www.youtube.com/watch?v=0d9lm8uwi2Y
c962e94d79469f0dae28,Irs GEO_IL,Батуми,author_or_channel,IrsAbroad,manual_only,70,worth_checking,intellectum,youtube,https://www.youtube.com/@IrsAbroad,IrsAbroad,771,nano,original_profile_opened,https://www.youtube.com/@IrsAbroad,https://www.youtube.com/results?search_query=Batumi+school+review&hl=ru,https://www.youtube.com/watch?v=cvd4i6UU24Y
b6688cedd8f1b0658c8c,ISM EduTech Pvt Ltd,Батуми,author_or_channel,ismedutechpvtltd,manual_only,70,worth_checking,,youtube,https://www.youtube.com/@ismedutechpvtltd,ismedutechpvtltd,5480,nano,original_profile_opened,https://www.youtube.com/@ismedutechpvtltd,https://www.youtube.com/results?search_query=Batumi+school+review&hl=ru,https://www.youtube.com/watch?v=jwplPTw9QPo
